code,title,company_cat,stat,country,headline,state,city,person_title,org_code,citycode,address_line_1,address_line_2,address_line_3,pincode,monthly_income,mode_of_salary,emi_amt,mobile,unique_code
C2806,TECHSINDHU SOLUTIONS INIDA PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225086567,G990,CA SITE NO.1 HAL 3RD STAGE BEHIND LEELA,PALACE KODIHALLI,KARNATAKA,560008,Y,N,N,B06174,G990
C2807,VITAL PAPER INTERNATIONAL PRIVATE LIMITED,A,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225017468,H653,"G K COMPLEX, 1ST LEVEL, NO. 257, AMARJYOTHI BHCS","LAYOUT, INNER RING ROAD DOMLUR",BENGALURU KARNATAKA,560071,Y,Y,N,B06175,H653
C2808,VOONIK TECHNOLOGIES PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225109448,H694,"N1 BLOCK, 3RD FLOOR, MANYATA EMBASSY BUSINESS PARK","OUTER RING ROAD, NAGAVARA",KARNATAKA,560045,Y,N,N,B06176,H694
C2809,XIAOMI TECHNOLOGY INDIA PRIVATE LIMITED,A,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225003290,H877,KARNATAKA,KARNATAKA,KARNATAKA,,Y,Y,N,B06177,H877
C2810,ZOOMRX HEALTHCARE TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225081755,H961,"27,KRISHNA REDDY LAYOUT,RAM MURTHY NAGAR",KARNATAKA,,560016,Y,N,N,B06178,H961
C2811,ZYOIN WEB PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385225065932,H977,"PLOT NO 271,2ND FLOOR,SHRI GANESHA COMPLEX","HOSUR MAIN ROAD, MADIWALA",KARNATAKA,560068,Y,N,N,B06179,H977
C2812,DENIM WORK,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,12CEA010295DENIBLR,B751,NO 28 KIADB INDUSRIAL AREA DOBBABALLAPUR,BANGALORE KARNATAKA,,,N,N,N,AA6100,B751
C2813,FORTUNE ESTATE DEVELOPERS PRIVATE LIMITED,A,1,IN,SOUTH,TAMIL NADU,CHENNAI,ALL,1199385223985113,C467,"NO. 7, RAJIV GANDHI SALAI (OMR),","SHOLINGANALLUR, CHENNAI",TAMIL NADU,600119,Y,Y,N,B06180,C467
C2814,GRACE SYSTEM TECHNOLOGY LABS  INDIA  PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385223933649,C777,"3RD FLOOR, L.P.S COMPLEX, 118/6 B","HARALUR MAIN ROAD, AGARA POST",KARNATAKA,560102,Y,N,N,B06181,C777
C2818,RADIUS HOSPITALITY CONCEPTS PRIVATE LIMITED,Z,1,IN,SOUTH,KARNATAKA,BENGALURU,ALL,1199385223767318,F662,NO 3 FLAT NO. 403 SAI DEEP HORIZON NAL,"WINDTUNNEL ROAD, MURUGESH PALYA VIMANAPURA PO",KARNATAKA,560017,Y,N,N,B06182,F662
